origin_id,destination_id,fare_id
NAG,NAG,F_12
NAG,UPL,F_12
NAG,STD,F_18
NAG,NGR,F_18
NAG,HSG,F_30
NAG,TAR,F_30
NAG,MET,F_40
NAG,SEC_E,F_40
NAG,PRG,F_50
NAG,PAR,F_50
NAG,ROP,F_55
NAG,PRN,F_55
NAG,BEG,F_60
NAG,AME_B,F_60
NAG,MUN,F_60
NAG,YUG,F_66
NAG,JR5,F_66
NAG,JCP,F_66
NAG,PED,F_70
NAG,MAD,F_70
NAG,DGC,F_75
NAG,HTC,F_75
NAG,RDG,F_75
NAG,MYP,F_75
NAG,JNT,F_75
NAG,KPH,F_75
NAG,KUK,F_70
NAG,BLR,F_70
NAG,MSP,F_70
NAG,BTN,F_66
NAG,ERA,F_66
NAG,ESI,F_66
NAG,SRN,F_60
NAG,AME_R,F_60
NAG,PUN,F_60
NAG,IRM,F_66
NAG,KHA,F_66
NAG,LKP,F_70
NAG,ASM,F_70
NAG,NAM,F_70
NAG,GAB,F_66
NAG,OMC,F_66
NAG,MGB_R,F_66
NAG,MKL,F_66
NAG,NEM,F_66
NAG,MSB,F_70
NAG,DSN,F_70
NAG,CHP,F_75
NAG,VOM,F_75
NAG,LBN,F_75
NAG,JBS,F_50
NAG,SCR,F_50
NAG,GNH,F_55
NAG,MSH,F_55
NAG,RTC,F_60
NAG,CDP,F_60
NAG,NAR,F_60
NAG,SUB,F_66
NAG,MGB_G,F_66
UPL,NAG,F_12
UPL,UPL,F_12
UPL,STD,F_12
UPL,NGR,F_18
UPL,HSG,F_18
UPL,TAR,F_30
UPL,MET,F_30
UPL,SEC_E,F_40
UPL,PRG,F_50
UPL,PAR,F_50
UPL,ROP,F_50
UPL,PRN,F_55
UPL,BEG,F_55
UPL,AME_B,F_60
UPL,MUN,F_60
UPL,YUG,F_60
UPL,JR5,F_66
UPL,JCP,F_66
UPL,PED,F_66
UPL,MAD,F_70
UPL,DGC,F_70
UPL,HTC,F_75
UPL,RDG,F_75
UPL,MYP,F_75
UPL,JNT,F_75
UPL,KPH,F_70
UPL,KUK,F_70
UPL,BLR,F_66
UPL,MSP,F_66
UPL,BTN,F_66
UPL,ERA,F_66
UPL,ESI,F_60
UPL,SRN,F_60
UPL,AME_R,F_60
UPL,PUN,F_60
UPL,IRM,F_60
UPL,KHA,F_66
UPL,LKP,F_66
UPL,ASM,F_66
UPL,NAM,F_66
UPL,GAB,F_66
UPL,OMC,F_66
UPL,MGB_R,F_60
UPL,MKL,F_66
UPL,NEM,F_66
UPL,MSB,F_66
UPL,DSN,F_70
UPL,CHP,F_70
UPL,VOM,F_75
UPL,LBN,F_75
UPL,JBS,F_50
UPL,SCR,F_50
UPL,GNH,F_50
UPL,MSH,F_55
UPL,RTC,F_55
UPL,CDP,F_55
UPL,NAR,F_60
UPL,SUB,F_60
UPL,MGB_G,F_60
STD,NAG,F_18
STD,UPL,F_12
STD,STD,F_12
STD,NGR,F_12
STD,HSG,F_18
STD,TAR,F_18
STD,MET,F_30
STD,SEC_E,F_40
STD,PRG,F_40
STD,PAR,F_50
STD,ROP,F_50
STD,PRN,F_50
STD,BEG,F_55
STD,AME_B,F_55
STD,MUN,F_60
STD,YUG,F_60
STD,JR5,F_60
STD,JCP,F_66
STD,PED,F_66
STD,MAD,F_66
STD,DGC,F_70
STD,HTC,F_70
STD,RDG,F_75
STD,MYP,F_75
STD,JNT,F_75
STD,KPH,F_70
STD,KUK,F_70
STD,BLR,F_66
STD,MSP,F_66
STD,BTN,F_66
STD,ERA,F_60
STD,ESI,F_60
STD,SRN,F_60
STD,AME_R,F_55
STD,PUN,F_60
STD,IRM,F_60
STD,KHA,F_60
STD,LKP,F_66
STD,ASM,F_66
STD,NAM,F_66
STD,GAB,F_66
STD,OMC,F_60
STD,MGB_R,F_60
STD,MKL,F_60
STD,NEM,F_66
STD,MSB,F_66
STD,DSN,F_70
STD,CHP,F_70
STD,VOM,F_70
STD,LBN,F_75
STD,JBS,F_40
STD,SCR,F_50
STD,GNH,F_50
STD,MSH,F_50
STD,RTC,F_55
STD,CDP,F_55
STD,NAR,F_55
STD,SUB,F_60
STD,MGB_G,F_60
NGR,NAG,F_18
NGR,UPL,F_18
NGR,STD,F_12
NGR,NGR,F_12
NGR,HSG,F_12
NGR,TAR,F_18
NGR,MET,F_18
NGR,SEC_E,F_30
NGR,PRG,F_40
NGR,PAR,F_40
NGR,ROP,F_50
NGR,PRN,F_50
NGR,BEG,F_50
NGR,AME_B,F_55
NGR,MUN,F_55
NGR,YUG,F_60
NGR,JR5,F_60
NGR,JCP,F_60
NGR,PED,F_66
NGR,MAD,F_66
NGR,DGC,F_70
NGR,HTC,F_70
NGR,RDG,F_70
NGR,MYP,F_75
NGR,JNT,F_70
NGR,KPH,F_70
NGR,KUK,F_66
NGR,BLR,F_66
NGR,MSP,F_66
NGR,BTN,F_60
NGR,ERA,F_60
NGR,ESI,F_55
NGR,SRN,F_55
NGR,AME_R,F_55
NGR,PUN,F_55
NGR,IRM,F_60
NGR,KHA,F_60
NGR,LKP,F_60
NGR,ASM,F_66
NGR,NAM,F_60
NGR,GAB,F_60
NGR,OMC,F_60
NGR,MGB_R,F_60
NGR,MKL,F_60
NGR,NEM,F_60
NGR,MSB,F_66
NGR,DSN,F_66
NGR,CHP,F_70
NGR,VOM,F_70
NGR,LBN,F_70
NGR,JBS,F_40
NGR,SCR,F_40
NGR,GNH,F_50
NGR,MSH,F_50
NGR,RTC,F_50
NGR,CDP,F_55
NGR,NAR,F_55
NGR,SUB,F_60
NGR,MGB_G,F_60
HSG,NAG,F_30
HSG,UPL,F_18
HSG,STD,F_18
HSG,NGR,F_12
HSG,HSG,F_12
HSG,TAR,F_12
HSG,MET,F_18
HSG,SEC_E,F_30
HSG,PRG,F_40
HSG,PAR,F_40
HSG,ROP,F_40
HSG,PRN,F_50
HSG,BEG,F_50
HSG,AME_B,F_55
HSG,MUN,F_55
HSG,YUG,F_55
HSG,JR5,F_60
HSG,JCP,F_60
HSG,PED,F_60
HSG,MAD,F_66
HSG,DGC,F_66
HSG,HTC,F_70
HSG,RDG,F_70
HSG,MYP,F_70
HSG,JNT,F_70
HSG,KPH,F_66
HSG,KUK,F_66
HSG,BLR,F_60
HSG,MSP,F_60
HSG,BTN,F_60
HSG,ERA,F_60
HSG,ESI,F_55
HSG,SRN,F_55
HSG,AME_R,F_55
HSG,PUN,F_55
HSG,IRM,F_55
HSG,KHA,F_60
HSG,LKP,F_60
HSG,ASM,F_60
HSG,NAM,F_60
HSG,GAB,F_60
HSG,OMC,F_60
HSG,MGB_R,F_55
HSG,MKL,F_60
HSG,NEM,F_60
HSG,MSB,F_60
HSG,DSN,F_66
HSG,CHP,F_66
HSG,VOM,F_70
HSG,LBN,F_70
HSG,JBS,F_40
HSG,SCR,F_40
HSG,GNH,F_40
HSG,MSH,F_50
HSG,RTC,F_50
HSG,CDP,F_50
HSG,NAR,F_55
HSG,SUB,F_60
HSG,MGB_G,F_60
TAR,NAG,F_30
TAR,UPL,F_30
TAR,STD,F_18
TAR,NGR,F_18
TAR,HSG,F_12
TAR,TAR,F_12
TAR,MET,F_12
TAR,SEC_E,F_18
TAR,PRG,F_30
TAR,PAR,F_30
TAR,ROP,F_40
TAR,PRN,F_40
TAR,BEG,F_50
TAR,AME_B,F_50
TAR,MUN,F_50
TAR,YUG,F_55
TAR,JR5,F_55
TAR,JCP,F_60
TAR,PED,F_60
TAR,MAD,F_60
TAR,DGC,F_66
TAR,HTC,F_66
TAR,RDG,F_70
TAR,MYP,F_70
TAR,JNT,F_66
TAR,KPH,F_66
TAR,KUK,F_60
TAR,BLR,F_60
TAR,MSP,F_60
TAR,BTN,F_55
TAR,ERA,F_55
TAR,ESI,F_55
TAR,SRN,F_50
TAR,AME_R,F_50
TAR,PUN,F_55
TAR,IRM,F_55
TAR,KHA,F_55
TAR,LKP,F_60
TAR,ASM,F_60
TAR,NAM,F_60
TAR,GAB,F_55
TAR,OMC,F_55
TAR,MGB_R,F_55
TAR,MKL,F_55
TAR,NEM,F_60
TAR,MSB,F_60
TAR,DSN,F_60
TAR,CHP,F_66
TAR,VOM,F_66
TAR,LBN,F_70
TAR,JBS,F_30
TAR,SCR,F_40
TAR,GNH,F_40
TAR,MSH,F_40
TAR,RTC,F_50
TAR,CDP,F_50
TAR,NAR,F_50
TAR,SUB,F_55
TAR,MGB_G,F_55
MET,NAG,F_40
MET,UPL,F_30
MET,STD,F_30
MET,NGR,F_18
MET,HSG,F_18
MET,TAR,F_12
MET,MET,F_12
MET,SEC_E,F_12
MET,PRG,F_18
MET,PAR,F_30
MET,ROP,F_30
MET,PRN,F_40
MET,BEG,F_40
MET,AME_B,F_50
MET,MUN,F_50
MET,YUG,F_50
MET,JR5,F_55
MET,JCP,F_55
MET,PED,F_55
MET,MAD,F_60
MET,DGC,F_60
MET,HTC,F_66
MET,RDG,F_66
MET,MYP,F_70
MET,JNT,F_66
MET,KPH,F_60
MET,KUK,F_60
MET,BLR,F_60
MET,MSP,F_55
MET,BTN,F_55
MET,ERA,F_55
MET,ESI,F_50
MET,SRN,F_50
MET,AME_R,F_50
MET,PUN,F_50
MET,IRM,F_50
MET,KHA,F_55
MET,LKP,F_55
MET,ASM,F_55
MET,NAM,F_55
MET,GAB,F_55
MET,OMC,F_55
MET,MGB_R,F_50
